iter	Passed	Remaining
0	0	352
1	0	290
2	0	283
3	1	272
4	1	262
5	1	259
6	1	255
7	2	250
8	2	247
9	2	246
10	2	243
11	2	242
12	3	241
13	3	241
14	3	241
15	3	244
16	4	244
17	4	244
18	4	244
19	4	243
20	5	243
21	5	242
22	5	241
23	5	241
24	6	240
25	6	241
26	6	240
27	6	239
28	7	239
29	7	239
30	7	239
31	7	239
32	8	238
33	8	238
34	8	237
35	8	237
36	9	237
37	9	238
38	9	238
39	9	239
40	10	240
41	10	241
42	10	241
43	11	241
44	11	241
45	11	242
46	11	242
47	12	242
48	12	241
49	12	241
50	12	241
51	13	240
52	13	240
53	13	239
54	13	239
55	14	239
56	14	239
57	14	238
58	14	238
59	15	237
60	15	237
61	15	237
62	15	237
63	16	236
64	16	236
65	16	236
66	16	236
67	17	235
68	17	235
69	17	235
70	17	234
71	18	234
72	18	234
73	18	233
74	18	233
75	19	233
76	19	233
77	19	232
78	19	231
79	20	231
80	20	231
81	20	230
82	20	229
83	20	228
84	21	228
85	21	228
86	21	228
87	21	227
88	22	227
89	22	227
90	22	227
91	22	226
92	23	226
93	23	226
94	23	225
95	23	225
96	24	225
97	24	225
98	24	225
99	25	225
100	25	224
101	25	224
102	25	224
103	26	224
104	26	224
105	26	224
106	26	223
107	27	223
108	27	223
109	27	223
110	27	223
111	28	223
112	28	223
113	28	222
114	28	222
115	29	222
116	29	221
117	29	220
118	29	220
119	30	220
120	30	219
121	30	219
122	30	218
123	30	218
124	31	218
125	31	218
126	31	217
127	31	217
128	32	216
129	32	216
130	32	216
131	32	216
132	33	215
133	33	215
134	33	215
135	33	214
136	34	214
137	34	214
138	34	214
139	34	213
140	35	213
141	35	212
142	35	212
143	35	212
144	35	211
145	36	211
146	36	211
147	36	210
148	36	210
149	37	210
150	37	209
151	37	209
152	37	209
153	38	208
154	38	208
155	38	208
156	38	208
157	39	207
158	39	207
159	39	207
160	39	206
161	39	206
162	40	206
163	40	205
164	40	205
165	40	205
166	41	204
167	41	204
168	41	204
169	41	204
170	42	203
171	42	203
172	42	203
173	42	202
174	42	202
175	43	202
176	43	202
177	43	201
178	43	201
179	44	201
180	44	201
181	44	200
182	44	200
183	45	200
184	45	200
185	45	199
186	45	199
187	46	199
188	46	199
189	46	199
190	47	199
191	47	199
192	47	198
193	47	198
194	48	198
195	48	198
196	48	197
197	48	197
198	49	197
199	49	197
200	49	196
201	49	196
202	50	196
203	50	196
204	50	195
